species,calls
Astracantha_aurea,tetraploid
Astracantha_bethlehemitica,tetraploid
Astracantha_caucasica,triploid
Astracantha_cerasocrena,triploid
Astracantha_cretica,tetraploid
Astracantha_deinacantha,triploid
Astracantha_denudata,tetraploid
Astracantha_diphtherites,triploid
Astracantha_granatensis,tetraploid
Astracantha_gummifera,triploid
Astracantha_karabaghensis,tetraploid
Astracantha_lasiostyla,triploid
Astracantha_meana,tetraploid
Astracantha_meschhedensis,tetraploid
Astracantha_microcephala,tetraploid
Astracantha_multifoliolata,triploid
Astracantha_piletoclada,tetraploid
Astracantha_plumosa,tetraploid
Astracantha_pterocephala,triploid
Astracantha_pulvinata,tetraploid
Astracantha_sommieri,tetraploid
Astracantha_stenonychioides,tetraploid
Astracantha_strobilifera,tetraploid
Astracantha_transoxana,tetraploid
Astracantha_turkmenorum,tetraploid
Astragalus_acanthochristianopsis,triploid
Astragalus_acaulis,tetraploid
Astragalus_accidens,diploid
Astragalus_ackermanii,diploid
Astragalus_adanus,diploid
Astragalus_adpressipilosus,tetraploid
Astragalus_adsurgens,triploid
Astragalus_aduncus,tetraploid
Astragalus_adzharicus,tetraploid
Astragalus_aegobromus,tetraploid
Astragalus_aequalis,diploid
Astragalus_afghanomontanus,tetraploid
Astragalus_agameticus,tetraploid
Astragalus_agrestis,triploid
Astragalus_akkensis,triploid
Astragalus_aksuensis,triploid
Astragalus_albens,diploid
Astragalus_albertii,triploid
Astragalus_albicaulis,triploid
Astragalus_albulus,diploid
Astragalus_algerianus,triploid
Astragalus_alitschuri,tetraploid
Astragalus_allochrous,diploid
Astragalus_alopecias,diploid
Astragalus_alopecurus,tetraploid
Astragalus_alpinus,tetraploid
Astragalus_altimurensis,tetraploid
Astragalus_altus,diploid
Astragalus_alvordensis,diploid
Astragalus_amatus,triploid
Astragalus_amblytropis,diploid
Astragalus_amherstianus,diploid
Astragalus_ammodendron,triploid
Astragalus_ammodytes,triploid
Astragalus_ammotrophus,tetraploid
Astragalus_amnis-amissi,diploid
Astragalus_amphioxys,diploid
Astragalus_ampullarius,tetraploid
Astragalus_amygdalinus,tetraploid
Astragalus_andersonii,diploid
Astragalus_anemophilus,tetraploid
Astragalus_angustifolius,tetraploid
Astragalus_angustissimus,tetraploid
Astragalus_anisacanthus,diploid
Astragalus_anisus,diploid
Astragalus_anserinifolius,tetraploid
Astragalus_anserinus,diploid
Astragalus_anxius,diploid
Astragalus_applegatii,tetraploid
Astragalus_apricus,diploid
Astragalus_aquilonius,diploid
Astragalus_arenarius,tetraploid
Astragalus_arequipensis,diploid
Astragalus_arganaticus,tetraploid
Astragalus_argophyllus,diploid
Astragalus_arguricus,tetraploid
Astragalus_argyroides,tetraploid
Astragalus_aridus,diploid
Astragalus_arizonicus,diploid
Astragalus_armatus,tetraploid
Astragalus_arnottianus,diploid
Astragalus_arthurii,tetraploid
Astragalus_asclepiadoides,triploid
Astragalus_askius,tetraploid
Astragalus_asper,triploid
Astragalus_asterias,tetraploid
Astragalus_asymmetricus,diploid
Astragalus_atratus,tetraploid
Astragalus_atropilosulus,tetraploid
Astragalus_atropubescens,diploid
Astragalus_austinae,diploid
Astragalus_australis,tetraploid
Astragalus_austriacus,tetraploid
Astragalus_austroaegaeus,tetraploid
Astragalus_austrosibiricus,triploid
Astragalus_babatagii,diploid
Astragalus_babatagii,tetraploid
Astragalus_baghlanensis,tetraploid
Astragalus_baissunensis,tetraploid
Astragalus_bakaliensis,tetraploid
Astragalus_bakuensis,triploid
Astragalus_baldshuanicus,tetraploid
Astragalus_balfourianus,tetraploid
Astragalus_baranovii,tetraploid
Astragalus_baxoiensis,triploid
Astragalus_beckwithii,diploid
Astragalus_bellus,diploid
Astragalus_bergii,diploid
Astragalus_berterianus,diploid
Astragalus_berteri,diploid
Astragalus_bibullatus,diploid
Astragalus_bicristatus,diploid
Astragalus_bisulcatus,diploid
Astragalus_bodinii,diploid
Astragalus_boeticus,tetraploid
Astragalus_bolanderi,tetraploid
Astragalus_bornmuellerianus,triploid
Astragalus_bourgaeanus,tetraploid
Astragalus_bourgovii,diploid
Astragalus_brachycarpus,triploid
Astragalus_brachylobus,tetraploid
Astragalus_brachypus,tetraploid
Astragalus_brackenridgei,diploid
Astragalus_brandegei,diploid
Astragalus_brauntonii,diploid
Astragalus_brazoensis,tetraploid
Astragalus_brevifolius,tetraploid
Astragalus_breweri,tetraploid
Astragalus_bucharicus,tetraploid
Astragalus_buchtormensis,diploid
Astragalus_bungeanus,tetraploid
Astragalus_burkartii,diploid
Astragalus_bustillosii,tetraploid
Astragalus_californicus,diploid
Astragalus_calliphysa,triploid
Astragalus_callistachys,tetraploid
Astragalus_callithrix,diploid
Astragalus_calycinus,tetraploid
Astragalus_calycosus,diploid
Astragalus_camptoceras,tetraploid
Astragalus_camptopus,diploid
Astragalus_campylorhynchus,tetraploid
Astragalus_campylorrhynchus,tetraploid
Astragalus_campylosema,tetraploid
Astragalus_campylotrichus,tetraploid
Astragalus_canadensis,tetraploid
Astragalus_cancellatus,tetraploid
Astragalus_caprinus,tetraploid
Astragalus_captiosus,tetraploid
Astragalus_caraganae,tetraploid
Astragalus_caricinus,diploid
Astragalus_carminis,diploid
Astragalus_casei,tetraploid
Astragalus_castaneiformis,tetraploid
Astragalus_castetteri,triploid
Astragalus_catabostrychos,tetraploid
Astragalus_centralis,tetraploid
Astragalus_cephalanthus,tetraploid
Astragalus_ceramicus,diploid
Astragalus_chamaeleuce,diploid
Astragalus_chamaemeniscus,diploid
Astragalus_chamissonis,diploid
Astragalus_chilienshanensis,triploid
Astragalus_chinensis,tetraploid
Astragalus_chionanthus,tetraploid
Astragalus_chloodes,diploid
Astragalus_chlorostachys,tetraploid
Astragalus_chrysomallus,tetraploid
Astragalus_chrysostachys,triploid
Astragalus_chubutensis,diploid
Astragalus_chuskanus,diploid
Astragalus_cibarius,tetraploid
Astragalus_cicer,tetraploid
Astragalus_cimae,diploid
Astragalus_circumdatus,diploid
Astragalus_citrinus,tetraploid
Astragalus_clarianus,tetraploid
Astragalus_clevelandii,diploid
Astragalus_clusii,tetraploid
Astragalus_coahuilae,diploid
Astragalus_cobrensis,tetraploid
Astragalus_coccineus,diploid
Astragalus_cochabambensis,diploid
Astragalus_cognatus,tetraploid
Astragalus_collinus,diploid
Astragalus_coltonii,diploid
Astragalus_columbianus,diploid
Astragalus_coluteocarpus,triploid
Astragalus_comosus,tetraploid
Astragalus_confertus,tetraploid
Astragalus_confiniorum,tetraploid
Astragalus_congdonii,diploid
Astragalus_conjunctus,diploid
Astragalus_consobrinus,diploid
Astragalus_conspicuus,tetraploid
Astragalus_contortuplicatus,triploid
Astragalus_convallarius,diploid
Astragalus_coquimbensis,diploid
Astragalus_cornutus,triploid
Astragalus_corrugatus,tetraploid
Astragalus_corydalinus,tetraploid
Astragalus_cottonianus,diploid
Astragalus_crassicarpus,triploid
Astragalus_cremnophylax,diploid
Astragalus_cretaceus,triploid
Astragalus_cronquistii,tetraploid
Astragalus_crotalariae,diploid
Astragalus_cruckshanksii,diploid
Astragalus_crymophilus,tetraploid
Astragalus_cryptanthus,diploid
Astragalus_curtipes,tetraploid
Astragalus_curvicarpus,diploid
Astragalus_curvicaulis,triploid
Astragalus_curviflorus,diploid
Astragalus_curvirostris,triploid
Astragalus_cyaneus,diploid
Astragalus_cymboides,diploid
Astragalus_cyri,tetraploid
Astragalus_dactylocarpus,triploid
Astragalus_dahuricus,tetraploid
Astragalus_daleae,diploid
Astragalus_danicus,triploid
Astragalus_darumbium,triploid
Astragalus_dasyanthus,tetraploid
Astragalus_debequaeus,diploid
Astragalus_demetrii,tetraploid
Astragalus_depressus,triploid
Astragalus_desereticus,diploid
Astragalus_desperatus,diploid
Astragalus_deterior,diploid
Astragalus_detritalis,diploid
Astragalus_dianthus,tetraploid
Astragalus_diaphanus,diploid
Astragalus_dictyolobus,tetraploid
Astragalus_didymocarpus,diploid
Astragalus_dilutus,triploid
Astragalus_diminutivus,triploid
Astragalus_dipelta,tetraploid
Astragalus_diphacus,diploid
Astragalus_discolor,tetraploid
Astragalus_distortus,diploid
Astragalus_diversifolius,diploid
Astragalus_dodtii,diploid
Astragalus_dolichocarpus,tetraploid
Astragalus_dolichophyllus,tetraploid
Astragalus_douglasii,diploid
Astragalus_drabelliformis,diploid
Astragalus_drummondii,diploid
Astragalus_duchesnensis,tetraploid
Astragalus_eastwoodiae,diploid
Astragalus_echanensis,tetraploid
Astragalus_echinops,triploid
Astragalus_edmondstonei,triploid
Astragalus_edulis,triploid
Astragalus_egglestonii,diploid
Astragalus_ellipsoideus,tetraploid
Astragalus_emoryanus,diploid
Astragalus_endopterus,diploid
Astragalus_ensiformis,triploid
Astragalus_epiglottis,tetraploid
Astragalus_episcopus,diploid
Astragalus_eremiticus,tetraploid
Astragalus_eriocarpus,diploid
Astragalus_eriopodus,tetraploid
Astragalus_ernestii,tetraploid
Astragalus_erythrosemius,tetraploid
Astragalus_eucosmus,tetraploid
Astragalus_eurekensis,diploid
Astragalus_eurylobus,diploid
Astragalus_exscapus,tetraploid
Astragalus_fabaceus,tetraploid
Astragalus_falcatus,tetraploid
Astragalus_falconeri,triploid
Astragalus_farctissimus,tetraploid
Astragalus_fastidius,triploid
Astragalus_fedtschenkoanus,tetraploid
Astragalus_feensis,diploid
Astragalus_fenzelianus,tetraploid
Astragalus_filicaulis,tetraploid
Astragalus_filipes,diploid
Astragalus_flavus,tetraploid
Astragalus_flexilipes,tetraploid
Astragalus_flexuosus,diploid
Astragalus_floridulus,tetraploid
Astragalus_floridus,tetraploid
Astragalus_follicularis,tetraploid
Astragalus_forrestii,diploid
Astragalus_fraxinifolius,tetraploid
Astragalus_frickii,diploid
Astragalus_frigidus,triploid
Astragalus_froedinii,diploid
Astragalus_fruticosus,tetraploid
Astragalus_fucatus,diploid
Astragalus_funereus,diploid
