species,chromosome_number
Albuli_Astragalus_albulus_P068_WB07,11
Ampularii_Astragalus_ampullarius_P067_WE01,NA
Anemophili_Astragalus_anemophilus_P026_WA06,NA
Anemophili_Astragalus_harrisonii_P072_WE09,NA
Anemophili_Astragalus_miguelensis_P024_WC09,NA
Argophylii_Astragalus_amphioxys_P068_WD03,11
Argophylii_Astragalus_anisus_P067_WF09,NA
Argophylii_Astragalus_anserinus_P067_WA04,NA
Argophylii_Astragalus_argophyllus_P069_WD10,NA
Argophylii_Astragalus_callithrix_P064_WE04,NA
Argophylii_Astragalus_castaneiformis_P068_WD11,NA
Argophylii_Astragalus_chamaeleuce_P065_WB03,11
Argophylii_Astragalus_coccineus_P073_WE07,NA
Argophylii_Astragalus_columbianus_P073_WB08,NA
Argophylii_Astragalus_consobrinus_P073_WB04,NA
Argophylii_Astragalus_cyaneus_P072_WF08,11
Argophylii_Astragalus_cymboides_P072_WE08,NA
Argophylii_Astragalus_desereticus_P072_WB12,NA
Argophylii_Astragalus_eurekensis_P072_WA11,NA
Argophylii_Astragalus_eurylobus_P071_WG03,NA
Argophylii_Astragalus_feensis_P071_WG06,NA
Argophylii_Astragalus_funereus_P072_WH03,NA
Argophylii_Astragalus_holmgreniorum_P073_WG12,11
Argophylii_Astragalus_inflexus_P073_WH03,11
Argophylii_Astragalus_iodopetalus_P114_WC08,NA
Argophylii_Astragalus_leucolobus_P066_WA04,NA
Argophylii_Astragalus_loanus_P067_WA07,NA
Argophylii_Astragalus_missouriensis_P024_WC03,11
Argophylii_Astragalus_musiniensis_P068_WD12,NA
Argophylii_Astragalus_neomexicanus_P111_WG12,11
Argophylii_Astragalus_newberryi_P070_WA10,NA
Argophylii_Astragalus_nudisiliquus_P065_WH11,NA
Argophylii_Astragalus_parryi_P067_WH06,NA
Argophylii_Astragalus_phoenix_P072_WG12,NA
Argophylii_Astragalus_piscator_P074_WE01,NA
Argophylii_Astragalus_piutensis_P114_WC10,NA
Argophylii_Astragalus_purshii_P010_WB11,11
Argophylii_Astragalus_shortianus_P008_WH07,NA
Argophylii_Astragalus_subvestitus_P009_WG06,NA
Argophylii_Astragalus_tephrodes_P029_WA11,11
Argophylii_Astragalus_tidestromii_P007_WG11,NA
Argophylii_Astragalus_uncialis_P008_WG05,NA
Argophylii_Astragalus_utahensis_P027_WE10,NA
Argophylii_Astragalus_waterfallii_P008_WB05,11
Argophylii_Astragalus_welshii_P111_WG02,NA
Argophylii_Astragalus_zionis_P117_WC05,NA
Astragalus_adpressipilosus_P072_WF03,NA
Astragalus_brandegei_P070_WA11,11
Astragalus_clusii_P074_WH05,8
Astragalus_corrugatus_P014_WD12,12
Astragalus_diminutivus_P066_WG12,NA
Astragalus_edmondstonei_P040_WB04,11
Astragalus_harbisonii_P026_WA08,NA
Astragalus_josephi_P010_WD12,NA
Astragalus_karakuschensis_P073_WH07,NA
Astragalus_mesites_P070_WC06,NA
Astragalus_noziensis_P072_WG09,NA
Astragalus_pachyrachis_P063_WG08,NA
Astragalus_piletocladus_P063_WE06,NA
Astragalus_pseudoparrowianus_P117_WF07,NA
Astragalus_shultziorum_P009_WD03,NA
Astragalus_xiphidioides_P007_WH07,8
Atrati_Astragalus_atratus_P068_WE12,NA
Atrati_Astragalus_salmonis_P008_WH02,NA
Bicristati_Astragalus_bicristatus_P070_WF03,NA
Bicristati_Astragalus_webberi_P008_WB04,NA
Bisulcati_Astragalus_bisulcatus_P028_WA04,12
