Name,GenesAt50pct,ParalogWarnings
Astragalus_aureus_P071_WH01,57,0
Astragalus_bethlehemiticus_P100_WD07,48,0
Astragalus_caucasicus_P100_WD10,67,0
Astragalus_cerasocrenus_P100_WD06,64,0
Astragalus_creticus_P073_WF04,57,0
Astragalus_oleaefolius_P103_WA02,53,0
Astragalus_denudatus_P076_WF01,64,0
Astragalus_diphtherites_P100_WE01,54,0
Astragalus_granatensis_P100_WC12,28,0
Astragalus_gummifer_P100_WD11,70,0
Astragalus_karabaghensis_P074_WD04,62,0
Astragalus_lasiostylus_P008_WD05,65,0
Astragalus_verus_P100_WD08,42,0
Astragalus_verus_P100_WB02,68,0
Astragalus_microcephalus_P064_WA05,61,0
Astragalus_verus_P103_WC05,53,0
Astracantha_oleifolia_P103_WB10,0,0
Astracantha_parnassi_P082_WC10,77,2
Astragalus_verus_P100_WB04,48,0
Astragalus_plumosus_P009_WH03,66,0
Astragalus_pterocephalus_P100_WB05,68,0
Astragalus_verus_P083_WG07,48,1
Astragalus_cephalotus_P103_WA07,39,0
Astragalus_micropterus_P071_WG12,64,0
Astragalus_verus_P075_WE02,64,0
Astragalus_transoxanus_P063_WH07,58,0
Astragalus_turkmenorum_P114_WD07,50,0
Astragalus_acanthochristianopsis_P013_WD02,67,0
Astragalus_acaulis_P010_WA02,62,0
Astragalus_accidens_P026_WA11,60,0
Astragalus_ackermanii_P064_WF07,69,4
Astragalus_acutirostris_P067_WH12,86,15
Astragalus_adanus_P067_WH11,70,4
Astragalus_adpressipilosus_P072_WF03,42,0
Astragalus_laxmannii_P013_WF10,60,0
Astragalus_aduncus_P114_WD01,54,0
Astragalus_adzharicus_P072_WF02,57,0
Astragalus_aegobromus_P009_WG05,70,3
Astragalus_aequalis_P070_WH08,71,4
Astragalus_afghanomontanus_P069_WA03,57,0
Astragalus_globiceps_P072_WB02,65,0
Astragalus_agrestis_P028_WE04,51,0
Astragalus_akkensis_P011_WB12,72,0
Astragalus_aksuensis_P008_WD08,68,0
Astragalus_albens_P025_WH10,70,3
Astragalus_albertii_P072_WF04,73,0
Astragalus_albicaulis_P075_WH11,68,0
Astragalus_albulus_P068_WB07,71,5
Astragalus_algerianus_P014_WB06,57,0
Astragalus_alitschuri_P013_WC03,33,0
Astragalus_allochrous_P026_WB07,66,6
Astragalus_alopecias_P072_WE01,68,0
Astragalus_alopecuroides_P011_WC04,14,0
Astragalus_alopecurus_P013_WG12,64,0
Astragalus_alpinus_P066_WA11,53,0
Astragalus_altimurensis_P009_WF07,72,1
Astragalus_altus_P076_WA12,73,5
Astragalus_alvordensis_P066_WE12,71,4
Astragalus_amatus_P045_WH05,69,0
Astragalus_amblytropis_P066_WE08,68,7
Astragalus_americanus_P029_WA10,56,0
Astragalus_amherstianus_P013_WD03,64,0
Astragalus_ammodendron_P074_WC12,62,0
Astragalus_ammodytes_P074_WA03,56,0
Astragalus_ammotrophus_P117_WE03,61,0
Astragalus_amnis-amissi_P069_WD01,68,4
Astragalus_amphioxys_P068_WD03,69,5
Astragalus_ampullarius_P067_WE01,75,6
Astragalus_amygdalinus_P074_WH04,52,0
Astragalus_andersonii_P065_WA07,76,5
Astragalus_anemophilus_P026_WA06,16,0
Astragalus_angustifolius_P077_WA01,73,0
Astragalus_angustissimus_P072_WA12,64,0
Astragalus_anisacanthus_P074_WF09,61,0
Astragalus_anisus_P067_WF09,68,2
Astragalus_annularis_P075_WG06,67,0
Astragalus_anserinaefolius_P072_WC11,68,0
Astragalus_anserinus_P067_WA04,67,2
Astragalus_tegetarioides_P069_WC05,71,4
Astragalus_applegatii_P066_WF02,65,0
Astragalus_apricus_P063_WG07,72,0
Astragalus_aquilonius_P065_WA04,74,3
Astragalus_arenarius_P009_WG07,57,0
Astragalus_arequipensis_P045_WH10,61,0
Astragalus_arganaticus_P074_WC08,57,2
Astragalus_argophyllus_P069_WD10,67,3
Astragalus_arguricus_P072_WA07,66,2
Astragalus_argyroides_P074_WC11,59,0
Astragalus_aridus_P026_WA04,63,3
Astragalus_arizonicus_P067_WG04,68,2
Astragalus_armatus_P011_WC06,56,0
Astragalus_arnottianus_P067_WF04,70,4
Astragalus_arthurii_P069_WE02,67,4
Astragalus_asclepiadoides_P066_WF07,65,2
Astragalus_askius_P071_WA03,68,0
Astragalus_asper_P072_WA05,47,0
Astragalus_asterias_P009_WG09,73,0
Astragalus_asymmetricus_P111_WH11,61,4
Astragalus_atratus_P068_WE12,64,4
Astragalus_atropilosulus_P006_WH04,59,1
Astragalus_atropubescens_P065_WE10,68,5
Astragalus_austinae_P070_WA03,66,3
Astragalus_australis_P069_WH11,64,0
Astragalus_austriacus_P072_WA04,60,0
Astragalus_austroaegaeus_P075_WA04,65,0
Astragalus_austrosibiricus_P010_WC11,59,0
Astragalus_babatagii_P013_WF04,72,0
Astragalus_babatagii_P013_WH03,57,0
Astragalus_baghlanensis_P077_WA02,73,1
Astragalus_baissunensis_P075_WA08,68,0
Astragalus_bakaliensis_P064_WB04,62,0
Astragalus_bakuensis_P075_WF05,73,0
Astragalus_baldshuanicus_P071_WH09,64,0
